,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
0,1,FARIAS BRITO COLEGIO DE APLICACAO,23246847,Fortaleza,Ceará,Privada,Urbana,35,"652,24","692,85","674,50","845,89","935,43","716,37"
1,2,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,23246871,Fortaleza,Ceará,Privada,Urbana,33,"652,91","695,67","676,34","836,65","915,15","715,39"
2,3,OBJETIVO COLEGIO INTEGRADO,35399197,São Paulo,São Paulo,Privada,Urbana,53,"638,72","677,45","682,90","836,11","868,68","708,80"
3,4,COLEGIO BERNOULLI,31350664,Belo Horizonte,Minas Gerais,Privada,Urbana,280,"634,47","681,58","668,20","823,80","906,64","702,01"
4,5,COLEGIO SANTO ANTONIO,31004812,Belo Horizonte,Minas Gerais,Privada,Urbana,142,"625,22","665,88","658,94","830,47","893,38","695,13"
5,6,COLEGUIUM,31351725,Belo Horizonte,Minas Gerais,Privada,Urbana,33,"631,78","676,18","646,74","817,78","926,67","693,12"
6,7,INSTITUTO DOM BARRETO,22025740,Teresina,Piauí,Privada,Urbana,152,"626,70","653,20","648,84","836,14","874,34","691,22"
7,8,FIBONACCI COLEGIO,31349720,Ipatinga,Minas Gerais,Privada,Urbana,57,"630,84","666,41","657,87","809,55","938,95","691,16"
8,9,CHRISTUS COLEGIO PRE UNIVERSITARIO,23246880,Fortaleza,Ceará,Privada,Urbana,65,"626,80","664,82","660,00","801,18","883,38","688,20"
9,10,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO,23235543,Fortaleza,Ceará,Privada,Urbana,30,"626,57","677,13","649,87","798,02","873,33","687,90"
10,11,COL DE APLICACAO DA UFV - COLUNI,31128074,Viçosa,Minas Gerais,Federal,Urbana,153,"619,84","674,53","647,35","807,24","916,47","687,24"
11,12,VERTICE COLEGIO UNIDADE II,35141240,São Paulo,São Paulo,Privada,Urbana,43,"629,40","674,52","657,56","785,75","894,42","686,81"
12,13,ESCOLA VILLARE,35154775,São Caetano do Sul,São Paulo,Privada,Urbana,33,"616,88","652,18","645,08","827,53","883,03","685,42"
